Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
4.0733,451.4646,450.6065,59.853,81.2257,7002.4877,8.5805,9.0153,1.2734,-5.0957,3.112,275.4511,25.028
4.1017,451.5424,450.7227,59.8727,81.2275,7003.2317,8.5939,9.0404,1.2768,-5.081,3.0735,277.8163,28.5409
4.1605,451.7433,450.9742,59.893,81.2309,7004.8246,8.6205,9.0791,1.2573,-5.0441,3.0243,284.7256,33.9306
4.3105,451.462,451.286,60.3343,81.226,7003.8885,8.5139,8.8976,1.1251,-5.0788,3.1543,280.4457,43.7847
4.105,451.5443,450.7397,59.8756,81.2268,7003.0839,8.5889,9.0276,1.259,-5.087,3.0952,279.1133,28.1557
4.3278,451.4235,451.2483,60.3991,81.2265,7003.9245,8.5147,8.8976,1.1346,-5.0972,3.1967,276.6464,44.7246
4.3502,451.2144,451.3419,60.5489,81.2216,7001.5016,8.5274,8.9165,1.2134,-5.1778,3.3043,263.4118,37.917
4.0882,451.559,450.7747,59.8312,81.2249,7002.9442,8.5913,9.0431,1.2368,-5.093,3.1102,282.5002,31.4299
4.089,451.9302,450.9311,59.6815,81.2482,7008.8907,8.601,9.0486,1.1401,-4.9113,2.9732,292.845,55.3623
4.379,451.3047,451.4665,60.5062,81.2189,7001.178,8.5576,8.9708,1.2167,-5.1826,3.2851,274.8694,40.0461
4.178,451.732,451.1142,59.9305,81.2307,7004.8769,8.6214,9.0891,1.2497,-5.0205,3.0416,286.3763,29.2402
4.336,451.3867,451.3073,60.4504,81.2255,7003.8848,8.5011,8.8748,1.136,-5.0827,3.1953,272.5927,42.137
4.0437,451.4434,450.5379,59.8257,81.2308,7003.1359,8.5698,8.9887,1.231,-5.1058,3.2079,269.9762,24.1445
4.2591,451.4926,451.3214,60.1955,81.2251,7003.4878,8.5073,8.8928,1.0968,-5.0492,3.1129,285.5127,42.2561
4.3085,451.5037,451.3721,60.3121,81.2267,7004.2903,8.5098,8.891,1.1189,-5.0274,3.1143,281.9403,43.219
4.0492,451.5465,450.6615,59.7845,81.2295,7003.8408,8.5946,9.0499,1.2416,-5.071,3.1257,277.6245,25.4117
4.3126,451.4324,451.1872,60.3449,81.2236,7003.6642,8.5253,8.9145,1.1671,-5.0721,3.1225,280.9509,46.3911
4.298,451.4933,451.2784,60.2956,81.2263,7004.3228,8.5242,8.9148,1.137,-5.0412,3.1303,283.1542,48.5353
4.298,451.4937,451.2794,60.2956,81.2264,7004.3321,8.5241,8.9148,1.1371,-5.0402,3.13,283.1464,48.524
4.2985,451.4943,451.28,60.2962,81.2265,7004.3431,8.5245,8.9158,1.12,-5.0518,3.1702,283.1373,48.5591
4.065,451.5522,450.7328,59.7945,81.2242,7003.0504,8.5839,9.0221,1.2065,-5.0754,3.1462,281.8176,27.6958
4.3337,451.2477,451.3098,60.4936,81.2195,7001.2936,8.5453,8.9499,1.2336,-5.1808,3.2709,267.3845,35.2573
4.3337,451.2481,451.3103,60.4934,81.2195,7001.2987,8.5454,8.95,1.2335,-5.1806,3.2709,267.3963,35.3043
4.3336,451.2466,451.3099,60.4939,81.2194,7001.2791,8.5424,8.9429,1.2269,-5.1763,3.2803,267.3838,35.248
4.3338,451.2472,451.3101,60.4942,81.2194,7001.2854,8.5426,8.9432,1.2272,-5.1764,3.2801,267.3549,35.2402
4.0652,451.5518,450.7328,59.795,81.2243,7003.0505,8.5839,9.0221,1.2067,-5.0757,3.1465,281.7904,27.6979
4.0652,451.5524,450.7336,59.7947,81.2242,7003.0534,8.5895,9.0399,1.2335,-5.073,3.095,281.8191,27.7537
4.2983,451.494,451.2798,60.2959,81.2265,7004.3356,8.5244,8.9157,1.1199,-5.052,3.1702,283.1546,48.539
4.0649,451.5523,450.7327,59.7942,81.2242,7003.0535,8.5895,9.0398,1.2334,-5.0727,3.0951,281.8237,27.6848
4.0825,451.5535,450.7851,59.812,81.2215,7002.5681,8.5783,9.0114,1.1907,-5.0817,3.1619,284.4533,33.6878
4.0498,451.5787,450.692,59.7812,81.2338,7004.6305,8.6024,9.0639,1.2478,-5.0557,3.1135,277.133,24.2402
4.3118,451.4612,451.3808,60.3587,81.2272,7004.1463,8.5018,8.8791,1.0957,-5.0721,3.1993,277.2402,41.9796
4.0819,451.572,450.8091,59.8282,81.2266,7003.5893,8.5833,9.0234,1.2085,-5.0626,3.1268,278.2841,28.8519
4.2693,451.3954,451.0927,60.2666,81.2216,7002.9289,8.5205,8.9103,1.1375,-5.1056,3.176,283.1566,47.1339
4.3417,451.3983,451.366,60.521,81.2345,7004.7239,8.5627,8.9701,1.2699,-5.1046,3.2249,255.1392,26.994
4.3037,451.2709,451.211,60.3891,81.2129,7000.4328,8.5375,8.9376,1.1989,-5.1897,3.2733,272.177,23.6306
4.0799,451.5405,450.7351,59.8409,81.2276,7003.1694,8.5867,9.0329,1.2663,-5.0782,3.067,278.2273,28.5767
4.3058,451.4749,451.3734,60.3116,81.2239,7003.5315,8.5062,8.8871,1.1001,-5.0623,3.1622,282.3324,41.7631
4.3975,451.1493,451.5735,60.6743,81.2217,7000.7267,8.514,8.8947,1.2096,-5.199,3.3431,263.142,33.5361
4.316,451.4728,451.3297,60.3194,81.2213,7003.3731,8.5098,8.8915,1.1332,-5.0558,3.0956,282.4382,48.0885
4.1446,451.6143,450.8739,59.9136,81.2294,7003.7261,8.6087,9.059,1.2708,-5.0767,3.0737,281.9134,38.8204
4.3301,451.4899,451.3172,60.3581,81.2278,7004.6296,8.5287,8.9212,1.148,-5.0587,3.1287,281.1818,47.6375
4.3224,451.4851,451.3656,60.3444,81.2254,7003.973,8.5101,8.8924,1.1039,-5.0725,3.1775,280.6043,43.6996
4.3135,451.4478,451.2661,60.349,81.2239,7003.7808,8.5171,8.902,1.1428,-5.0623,3.135,280.4656,45.3744
4.331,451.1083,451.1157,60.5235,81.209,6998.7487,8.5267,8.9169,1.2466,-5.2575,3.3273,265.4927,24.3139
4.0925,451.7236,450.8445,59.7861,81.2319,7005.0282,8.6108,9.066,1.2354,-5.0157,3.0339,283.7875,31.4993
4.3027,451.4594,451.2561,60.3157,81.2236,7003.6443,8.5154,8.9008,1.121,-5.0808,3.1739,281.1224,41.8641
