1540.06,75.32,4000.61,638.86,620.34,40848.56,96.45,101.17,-24.07,13.41,114.37,1.29,100.88
1853.38,65.83,5926.53,747.11,1435.9,599365.98,112.53,117.41,-24.57,13.36,119.36,1.33,119.06
1698.4,83.1,5148.31,789.1,814.76,56049.2,118.74,123.97,-26.4,13.59,137.34,1.46,116.81
1867.11,93.33,5400.72,843.08,846.37,57161.39,127.06,132.93,-30.55,16.98,148.44,1.63,129.24
1868.01,114.39,5484.65,909.57,809.93,47571.49,137.51,144.37,-42.75,27.65,167.37,1.83,163.46
1303.82,65.17,3748.86,585,588.74,39740.16,88.16,92.3,-19.98,10.03,102.65,1.15,89.07
2006.86,101.24,5419.5,869.49,819.89,50215.83,131.11,137.11,-31.65,17.81,158.71,1.64,145.71
1851.41,105.72,4755.82,800.44,715.43,44208.15,121.33,127.81,-36.24,22.05,148.87,1.75,135.62
2212.86,111.9,5099.64,854.98,767.75,47198.17,129.58,136.51,-36.26,21.61,158.61,1.89,144.85
1836.86,105.79,4756.06,800.5,715.4,44202.82,121.33,127.82,-36.26,22.26,148.78,1.75,135.92
1831.16,86.22,6431.2,855,1499.2,601626.46,129.18,135.35,-32.88,19.55,141.76,1.67,144.41
1755.92,87.58,5039.24,788.7,785.68,52002.15,118.83,124.22,-26.02,13.35,139.88,1.51,121.06
1655.95,89.55,4496.27,732.9,683.47,43083.92,110.9,116.53,-31.39,19.06,135.37,1.52,119.43
1904.12,97.54,5290.42,842.43,817.45,53128.03,127.14,133.16,-30.05,15.8,151.85,1.67,132.05
2308.15,118.6,5777.78,950.63,872.52,53197.49,143.76,150.98,-34.19,18.15,174.99,2,160.31
1429.91,76.76,4451.61,693.59,701.64,47870.85,104.58,109.51,-23.97,12.49,122.53,1.37,104.57
1492.83,86.9,4703.29,747.45,733.37,48995.31,112.87,118.39,-28.08,15.34,134.19,1.52,115.43
1805.51,95.61,4504.07,746.6,683.71,43085.14,113.03,118.91,-32.18,19.33,137.33,1.59,124.34
2421.17,129.13,6313.52,1044.95,925.35,52798.67,157.85,165.37,-46.95,30.06,194.39,2.02,193.24
2251.56,115.74,5934.58,964.29,891.3,54595.33,145.58,152.54,-42.07,26.18,175.34,1.89,168.86
1906.75,104.61,4639.04,787.12,686.24,40152.69,119.22,125.41,-32.38,19.42,145.39,1.71,138.34
2582.01,146.15,6413.92,1097.89,938.29,52460.52,165.81,173.8,-44.57,25.54,211.98,1.61,191.28
2216.71,116.51,5676.29,936.68,851.7,51315.17,141.59,148.44,-34.27,18.76,171.96,1.91,156.12
2037.91,113.26,5782.63,937.58,880.5,55347.8,142.19,149.49,-30.95,17.02,165.8,2.65,161.95
1986.3,95.08,6564.62,895.33,1501.84,598668.19,135.29,141.63,-32.87,19.31,150.76,1.74,155.77
2311.17,127,5929.64,990.87,883.32,52424.07,149.93,157.44,-38.32,21.88,182.19,2.09,171.15
2261.37,123,6032.75,991.14,912.15,56461.24,150.48,158.37,-34.72,19.33,178.56,2.8,172.65
1760.83,94.45,4387.07,733.26,654.61,39037.55,110.94,116.58,-28.24,15.89,133.94,1.56,127.15
2424.15,130.35,6057.11,1017.64,885.82,49524.98,153.86,161.3,-39.76,23.05,190.19,2.04,183.37
2377.92,135.04,5394.26,948.74,781.3,43505.67,144.1,152.03,-44.44,28.32,179.74,2.16,171.93
2320.88,135.08,5394.43,948.77,781.29,43507.38,144.11,152.06,-44.52,28.27,179.78,2.16,173.98
2462.82,140.03,5739.35,1002.54,833.83,46504.1,151.78,159.73,-47.45,29.2,193.63,1.6,178.39
2420.47,115.48,7069.38,1003.25,1565.15,600914.36,151.96,159.62,-41.11,25.36,173,2.09,182.65
2530.94,143.71,6123.19,1057.88,876.01,46884.51,160.28,168.59,-51.09,32.96,198.31,2.25,203.26
2115.53,118.62,5134.13,880.97,749.42,42389.64,133.67,140.77,-39.68,25.02,167.04,1.93,155.12
1992.86,105.85,5088.97,841.67,767.61,47179.47,127.31,133.65,-32.23,18.27,154.42,1.76,140.49
2156.44,116.03,5340.61,895.59,799.25,48292.04,135.61,142.54,-36.05,21.25,165.8,1.91,151.78
2909.73,158.38,6951.78,1193.16,991.35,52107.13,180.6,189.52,-55.22,35.89,225.5,2.42,230.51
2725.42,145.06,6573.08,1112.61,957.22,53896.47,168.35,176.76,-50.39,31.88,206.29,2.3,209
2136.28,124.91,5142.61,894.85,749.66,42392.68,135.81,143.17,-40.58,25.53,168.46,2.01,161.14
2536.13,145.91,6412.98,1097.69,938.33,52462.77,165.81,173.81,-44.48,25.34,212.71,1.61,190.63
3010.3,188.19,8190.79,1409.08,1190.24,64766.2,212.47,222.34,-56.62,31.8,276.31,1.56,247.75
2665.98,158.26,7451.63,1247.64,1103.65,63608.88,188.16,196.78,-46.24,25.09,237.77,1.8,215.62
2606.04,154.59,7558.2,1248.23,1132.7,67677.28,188.64,197.54,-44.02,23.99,233.1,2.46,213.65
2805.28,136.6,8339.25,1206.1,1753.84,610990.89,181.84,189.91,-44.86,25.24,217.32,1.61,213.01
2855.03,168.63,7705.19,1301.73,1135.4,64735.3,196.54,205.87,-50.59,28.15,248.28,2.01,226.74
2900.48,164.71,7808.41,1302.12,1164.32,68783.7,196.95,206.42,-47.12,25.95,244.44,2.63,228.14
2442.83,136.06,6162.27,1044.13,906.6,51339.35,157.54,164.96,-40.22,22.33,199.79,1.47,181.95
3035.67,171.81,7831.78,1328.31,1137.97,61848.11,200.45,209.67,-51.96,28.85,256.84,1.94,236.49
2963.76,176.47,7168.62,1259.45,1033.26,55803.82,190.7,200.45,-56.47,34.44,246.62,2.06,229.81
3171.62,176.31,7168.03,1259.26,1033.37,55814.31,190.67,200.39,-56.58,34.37,247.45,2.05,225.37
3175.26,181.6,7514.33,1313.36,1085.74,58798.58,198.37,208.12,-59.46,35.51,259.67,1.5,231.88
2999.82,156.96,8844.1,1314,1817.23,613253.56,198.53,207.94,-53.24,31.42,239.52,1.98,237.35
3006.73,184.71,7895.88,1368.13,1128.06,59197.24,206.82,216.88,-63.19,38.99,266.79,2.11,251.14
2749.37,160.67,6911.13,1192.22,1001.47,54701.28,180.35,189.37,-51.7,30.9,231.28,1.9,212.27
2374.27,147.46,6864.12,1152.55,1019.51,59469.7,173.94,182.13,-44.22,24.61,220.52,1.69,196.74
2997.02,157.65,7115.93,1206.47,1051.25,60595.11,182.21,190.95,-48.09,27.37,231.69,1.82,207.34
3396.5,199.57,8724.97,1503.6,1243.39,64420.61,227.17,237.87,-67.29,41.74,293.58,2.3,278.38
3299.48,187.07,8350.12,1423.79,1209.27,66209.81,215.03,225.36,-62.49,37.9,270.68,2.26,266.87
2808.55,166.35,6916.99,1205.56,1001.68,54696.7,182.41,191.58,-52.59,31.23,235.23,1.92,215.14
2112.07,116.69,5677.02,936.82,851.65,51308.5,141.59,148.45,-34.3,19.13,171.47,1.91,158.4
2742.07,158.07,7451.18,1247.46,1103.67,63613.43,188.18,196.84,-46.43,25.1,238.64,1.82,212.13
